text,label
a final reconciliation will be provided before election day.,0
"– provide adequate housing, water, and infrastructure.",0
- appointing a special counsel to recover any misappropriated funds.,0
– provide loan insurance to enhance the creditworthiness of firms affected by the softwood lumber dispute.,0
"* establish rigorous “needs based” eligibility standards for basic income to permit an affordable benefit system that provides adequate benefit levels; and,",0
this will put up to $250 into the pockets of those working canadians who need it most.,0
"green party mps will: based on the green party’s holistic approach to international affairs, using a combination of diplomacy, defense and development, we not only reiterate our consistent pleas for action of past years but now urgently call on the government of canada to take an immediate ‘whole of government’ approach to the region and related conflicts in order to force a stop to the fighting",0
enacting a moratorium on genetically modified wheat to protect canadian export markets and supporting mandatory labelling of gm food at home.,2
"canada is a democracy, yet our democratic system has not kept pace with the needs of a changing society.",0
many canadians support restorative sentencing which promotes a sense of responsibility in the offender and secures amends for the victims of crime.,0
this will include legislating financial reforms to provide enhanced access to capital for community economic development,0
"wild fish, natural forests and productive agricultural soils represent some of the real wealth of a nation.",0
all ten provinces have now signed agreements with the federal government based on a nationally shared vision.,0
"(the 30 oecd member countries represent approximately 60 percent of the world’s economy, 70 percent of world trade and 20 percent of the world’s population.)",2
we have acted to control invasive species and provided funds to address the mountain pine beetle infestation in british columbia.,0
these sector-based strategies will be accompanied by a systematic review of sector-specific tax measures.,0
the green budget coalition1 has said that carbon pricing of the sort we propose is “the most crucial opportunity” for environmental improvement,0
it is true that seniors use a disproportionate amount of health care dollars.,0
we will ensure that law-abiding citizens are free from unreasonable fees and the threat of criminalization.,0
establish the canadian coast guard as a stand-alone agency and honour the plans to invest $276 million over five years in expanding and updating the coast guard fleet.,0
* give fsc certified forest companies a full five-year full tax break upon certification.,0
we believe that most infrastructure decisions are best made at the provincial or local level.,0
"building upon earlier initiatives to heal these wounds, a liberal government will implement the recently concluded agreement in principle to provide compensation to eligible former students.",0
complete the integrated management plans of our three oceans.,0
"pursue international criminal investigations of existing military detention centers where human rights violations have been reported in iraq, cuba, afghanistan and elsewhere.",0
"ensuring women have access to safe, therapeutic abortion services.",0
"when the world sees canada, it sees a model of diversity living in peace.",0
"this investment would build on current cihr-funded cancer research programs, among others;",0
– retrofit 75% of all buildings used by the federal government and its agencies between 2006 and 2010.,0
"a green government will pay a no-trip vehicle allowance to all federal staff working from home,",0
•a belief that the quality of the environment is a vital part of our heritage to be protected by each generation for the next;,0
* support global verification and certification standards for carbon credits.,0
recognizing aboriginal self-governance as a fundamental component of a modern federal state.,0
the liberals have failed for over ten years to reform parliament.,0
"through programs such as the atlantic innovation fund, the liberal government has spurred the growth of knowledge-based industries by building stronger linkages between universities and the private sector.",0
they are also a multi-talented resource in communities across canada where reserve units are located.,0
we will transfer the policy and science branches of fisheries and oceans to the east and west coasts to better understand and respond to the concerns of fishers.,0
canada’s role in un peacekeeping efforts has diminished over time.,0
and establish a parliamentary task force on other pro-active methods for discovering and eliminating internet sales.,0
"place each of these minimum penalties at four years, up from current one-year penalty.",0
estimated annual cost in year four: $482 million.,0
we will reaffirm the canadian government's position that nafta cannot require canada to export bulk water to other nafta countries.,1
"we also believe that democracy, by definition, must be decided by citizens, not politicians.",0
and undertake consultations with stakeholders and provinces to improve the program’s accessibility by extending the current benefit to meet the needs of part-time workers.,0
"improving pay and benefits for members of the forces, and exempting them from paying income tax on money earned while serving on high-risk international missions.",0
making peacekeeping and peacemaking operations under un auspices the priority for canadian armed forces operations overseas and working with similar nations to co-operate in organizations that take a holistic approach to security issues.,0
we will increase enforcement by hiring more fisheries officers and updating the fisheries act.,0
the accord went a long way toward restoring the cuts to health care of the martin years.,0
"b) ensure that binding water-sharing agreements among provincial, territorial and federal governments are created within the mackenzie basin (within 1 year).",0
"in addition to the significant tax measures already described, every rural canadian tax filer will receive up front, each year, an annual green rural credit of $150.",0
"the price will begin immediately at $10 per tonne of greenhouse gas emissions and steadily rise by an additional $10 per tonne each year, reaching $40 per tonne within four years.",0
supporting safe helicopters for the canadian armed forces.,0
"as under the old law, the age at which the sentencing provision applies (14, 15 or 16) will be determined in each province.",0
"work with farm organizations and provincial governments to implement income stabilization programs that are consistent with our international trade obligations and approaches,",0
canadians must demand better for the brave men and women who put their lives on the line to protect us.,0
"today, far too many aboriginal students are not completing high school, especially on reserves.",0
"jack layton and canada’s ndp will respect your vote by: holding a referendum on whether to change the voting system to one based on proportional representation, similar to systems in germany and new zealand that respect voters’ choices, protect local representation and require broad levels of support for a party to qualify for seats in parliament.",0
"provide more funding for the rcmp, specifically to give greater training to new recruits and specialists.",0
ensure that the arctic is protected and defended through the coast guard and civilian enforcement of canadian law along with an adequate—but not excessive—military capability.,0
"proceed with the increased basic personal credit amounts, and the decrease in the lowest personal income tax rate, announced in november.",0
"on unity, the liberal party has made things worse – much worse.",0
"refocus the mandate of the canadian radio-television and telecommunications commission (crtc) to promote and protect canadian cultural industries,",0
"we have to address the multi-layered problems facing families through new, innovative fiscal, labour and social policies.",0
"make all votes in parliament, except the budget and main estimates, “free votes” for ordinary members of parliament.",0
canadians on moderate and fixed incomes have been hit particularly hard in recent years.,0
green party mps will: introduce legislation to establish a canadian index of well-being to provide the government with better information so it can do a better job of taxation and revenue sharing with the other levels of government.,0
"recruit 13,000 additional regular forces and 10,000 additional reserve forces personnel.",0
a portion of this balance will be allocated to initiatives to be announced later in the campaign.,0
"lastly, the green party government will confirm the core role of our military, clarify its purpose and equip it accordingly.",0
canada will support the development of kyoto’s clean development mechanisms focused on verifiable greenhouse gas reductions in developing nations.,0
"we do not agree that at this point the broad-based, general corporate tax cuts being proposed by the liberals and conservatives are necessary.",0
focusing community economic development and investment towards clean technology and services is both a smart economic development strategy and a superb investment opportunity.,0
"the lack of federal regulation, monitoring, and action has made canada one of the world’s biggest and most tragic offenders against the environment.",0
"the green party supports the delivery of social housing dollars to provincial, territorial and municipal governments through the traditional vehicle of the canadian mortgage and housing corporation (cmhc).",0
"new democrats are traders too, and consistently embrace multilateral approaches to solving global challenges.",0
a paul martin government will immediately submit judge gomery’s second report to a parliamentary committee for study and advice to the government and to parliament.,0
"these targets would be developed in collaboration with the provinces and territories relying on the work of the health council, the canadian institute for health information, the canadian institutes for health research and health professionals.",0
this energy intensive industry also contributes nearly twice as much to canada’s greenhouse gas emissions as do all domestic flights in canada.,0
the commercialization centers promise to become focal points for clusters of activity in many dynamic areas of technology.,0
"no canadian should be satisfied with the failed policies of the indian act and the huge bureaucracy of diand, the enormous outlays of funding for lawyers and “experts,” in the interminable comprehensive claims policy.",0
"clean energy and climate change: at the recent united nations conference on climate change in montreal, prime minister martin issued a call to action in the following words:",0
and we will cut the middle class tax rates to 21 per cent from 22 per cent (a 4.5 per cent cut) and to 25 per cent from 26 per cent (a 3.8 per cent cut).,0
* address inter-provincial/territorial and international water-related concerns by demanding that government:,0
"* work with provinces, territories and industry to ensure that all mining operations are insured for environmental liabilities and have an adequate pre-funded plan for remediation when the mine closes.",0
taxes should be “smart. ”,0
