text,label
"Changes to the RMA must be balanced against councils' publicly developed longterms plans and must also take cognizance of the substantial body of jurisprudence, as a consequence of the RMA.",16
■ We are committed to ending homelessness as defined by the Make Room campaign through a range of measures including greater provision of supported housing.,38
"children should be helped to develop the life skills they will need as adults,",40
"We will refocus council services in this area on homelessness prevention rather than crisis management, through expanding and combining multiple funding pots into a single grant distributed to councils.",38
"• further promote innovation by tax incentivised research and development comparative to other first world nations,",20
"Continue building the resilience of poorer countries to resist future disasters, investing in healthcare and infrastructure and training emergency response volunteers,",6
"employ New Zealanders,",50
and follow Scotland’s lead in putting wellbeing at the heart of policymaking.,43
However there needs to be a much greater emphasis on incorporating renewables and newer technologies into the generation mix to replace the ageing fleet of generators in an orderly fashion without exposing the economy to price or supply shocks.,29
A brighter future.,42
Our middle class has felt that burden most acutely.,53
"The criminal code is vast and complex, contained in hundreds of years of statutes and court judgments.",46
Labour will not introduce myxomatosis.,35
* keep maternity services free.,38
Why we need to do better than the Climate Change Act,35
We want to help those who have been caring for a child or children for a number of years or supporting an elderly relative.,37
 Boost research and development funding through GNS Science for carbon sequestration from thermal electricity generating plants.,35
The ANC government is not capable of fighting corruption because it is rotten to its core.,17
These new officers will take violent criminals off the streets and protect us and our country.,46
"We have set out the bold aim of achieving full employment, with the highest employment rate of any major economy.",22
I m proves outcomes forcitizens thatare benchma rked against other countries,16
"Similarly, many people would prefer to spend their last days at home rather than in hospital and a small increase in community care would save hospital beds and make the experience better for the dying patient, their family and friends.",38
"Direct the guardians of the New Zealand Superannuation Fund to prioritise the purchasing of shares in New Zealand infrastructure companies, particularly when they are being sold by overseas investors, with the aim of building a solid base of New Zealand ownership of these assets.",31
Allocated $265 million to help clean up lakes and rivers polluted by poor historic management.,35
"In a nutshell, if elected to serve this country, in the next five years we as the NFP shall work with you to deliver inter alia on the following seven priority areas: 1.Economic development",28
and evaluating how a system like the National Treatment Purchase Fund could assist in this area.,38
The Green Party will incentivise businesses to purchase electric vehicles by making electric vehicles exempt from fringe benefit tax.,34
"people with disabilities,",54
"Businesses supporting job seekers will be able to claim an additional deduction of up to $100,000 a year for hiring new staff.",20
"An extra £25 million a year will go to regional theatre, increasing the number and quality of productions for audiences in England.",36
Le blianta anuas cailleadh fostaíocht sna tionscail thradisiúnta sa Ghaeltacht.,21
which generate economic and environmental benefits for farmers and their surrounding communities.,52
"Departments will be directed to maintain a register of the directors of state boards under their remit, and will include dates of appointment and expected retirement dates and vacancies.",16
"For that, we are prayerfully grateful and salute all who have played a role in defending our homeland.",42
Labor has accounted for the reversal of these unlegislated measures in our final budget position.,18
Develop an all-island structure for environmental protection and enforcement,35
National Office for Crime Prevention: This should be established and located in the office of the president and headed by a CEO appointed under an annually renewable performance contract.,46
"To help match the right apprentice to the right apprenticeship and lift completion rates, the Government has established the Australian Apprenticeship Support Network, supported by $200 million of annual funding.",29
Budget 2011 allocated funding to this programme.,38
"Alliance also wants to ensure that Northern Ireland remains welcoming to all those from elsewhere in the European Union and the rest of the world who have made this region their home, helping to build our economy and enriching our society",48
Our investment of an additional £2 billion a year in education and training will improve skills and increase the nation's knowledge base.,29
"National is committed to independent, arms- length reporting to ensure that New Zealanders have a better understanding of key environmental information.",17
"to ensure that profitable, viable small and medium-sized businesses have access to capital, even when the rest of the commercial banking system can’t provide it.",20
"Ensure provision of high quality public services in rural areas to promote economic independence and equality, minimise rural exclusion and combat isolation.",37
"4. The EFF government will amend the legislation that governs the stock markets to introduce a minimum number of women, youth and workers as owners and beneficiaries of all listed companies.",37
and to support the tens of thousands of oil sands workers who have recently been laid off.,29
"We will: give you a say over whether we should stay in or leave the EU, with an in-out referendum by the end of 2017",9
"National is committed to the community and voluntary sector and will continue to work with it to ensure New Zealanders benefit from the generosity, expertise and goodwill of our volunteers.",47
"Gas prices have fallen, driving growth in the American economy and pushing down prices for consumers.",29
"Fair 100% payouts on red-zone land, because the earthquake was not anyone’s fault",37
"Make sure there is a job for everyone that wants one by 2018, with at least 150,000 jobs created over the next three years",28
"This election comes just a month before we celebrate the 800th anniversary of Magna Carta, a foundation stone of our liberties.",10
"Without Scotland’s historically low average farm payments, the UK would not have been eligible for additional EU ‘convergence uplift’ funding.",52
"We gave $2 billion to the family tax initiative in 1997,",44
"We will cancel Stephen Harper's tax breaks for the wealthy,",37
"Clean water is the birth-right of all of us, and vital to our continued prosperity.",35
We must make these programs actually anticipate dislocations so that affected workers can get new skills quickly and return to the workforce.,29
Support a review to ensure the right to privacy is included in the New Zealand Bill of Rights Act 1990.,10
"Funding for specific regional education tours for major tourism operators, similar to the programs now conducted by other countries, to enable travel consultants to gain a better understanding of what is on offer.",20
Liberal Democrats will also support the right of the people of Gibraltar to remain in the European Union.,7
"building schools,",40
including increasing the number of specialist nurses in hospital settings to address inequalities in the provision of health services.,38
"We endorse continued American support for Pakistan's security, economic, and social programs.",0
ACT believes that New Zealand’s environment is extremely valuable and faces real threats.,35
2. Extend fishing protections (prohibition of lethal set nets and trawl nets) to the entire Maui's range as defined by expert scientists.,35
Where a bonus scheme exists payments should be cleared by this board.,16
"At present, New Zealand and Australia have escaped the worst of the storm, as the quality of the assets in our banking systems has been higher.",32
Our water is New Zealand’s most important natural treasure.,35
The ambition of health and social care services working side by side cannot be achieved with the current inequality.,50
• Manage the move to digital television.,29
Schemes such as these can save people on low incomes the equivalent of up to two weeks’ rent.,37
Strengthen discipline at schools and encourage a culture of teaching and learning by ensuring that all educators and learners are at school during school hours;,40
not on the EU’s treaties,9
"In that divide, the Republican Party stands with the people.",10
"A Shorten Labor Government will deliver to the ABC the resources it needs to boost coverage of women’s sport, giving our female sports stars the recognition they so obviously deserve.",36
Teaching road safety and ensuring it is practiced in and around school property,40
improve access to affordable primary care,38
"and will consult and liaise locally over specific health needs and health-related Issues including water quality, transport and sewage systems, and noise pollution.",11
Support parents by extending paid parental leave to 18 weeks.,38
We’ve reformed the foreign trust disclosure rules to ensure they are fit for purpose,24
"end cronyism on State boards, and make Ministers and public servants accountable for their decisions.",16
"The school system remains highly centralised – with a centralised curriculum, and a centralised and bureaucratic remuneration system.",40
"Using a conservative analysis prepared by Infrastructure Partners Australia, a $10 billion infrastructure investment will directly create approximately 26,000 jobs",50
"Labor knows that increasing women’s participation and economic security requires action from all parts of the community and there is no area of Australian life, no sector of Australian community, that does not and will not benefit from the full and equal inclusion of women.",37
"We propose establishing community hubs, or health, welfare and education 'one stop shops' in all decile 1 to 4 primary and intermediate schools.",40
"This Ombudsman would have the power to adjudicate on rents that have the potential to cause a business to fail, without undertaking a costly court process.",20
- Expand private pensions and give people more control over their pensions.,10
Simplified benefit categories to increase the focus on work,39
We will defend the right of workers to collect their defined benefit pensions and make sure workers get priority and protection when pension plans are in distress.,50
"Where tribunals make findings against individuals and produce comprehensive reports, we will ensure the State acts on those findings within the Statute of Limitations available for criminal prosecutions.",17
This Fund will target projects such as large-scale solar.,35
We will deliver better government services by working in close co-operation with the State and Territory governments who are largely responsible for the delivery of government services.,16
English empowers.,40
Over the last four years our National Health Service has been put under intolerable strains.,38
"To improve access to support, the DA will: Offer rebates on loans to established farmers taking part in mentorship schemes.",52
Return to Privy Council,0
We will support pharmacies and village schools in rural areas.,52
"7. The EFF government will establish an independent state electricity economic research institute to prioritise research on energy security and support more than 100 years of energy infrastructure planning, which will report to Parliament.",29
 Irrigation taxes.,52
and those aged 65 and over and progressing to universal access by 2021.,55
Boost investment in New Zealand Trade and Enterprise by $69 million to expand the number of companies it works with.,20
"Democrats will additionally establish a Veterans Affairs Tribal Advisory Committee to foster improved collaboration and coordination between the federal government and Tribal Nations on meeting the unique needs of Native American veterans,",48
New Zealand First will:Ensure that all military veterans who meet the eligibility criteria receive a veteran’s pension.,38
and we will ensure that older people are not forced to sell the roofs over their heads to pay for their nursing home care.,38
We have also been consulting widely with business and various experts about confronting the challenges facing Australia.,22
"The DA has revived this bill, with amendments, as a Private Members Bill, to be introduced back to Parliament.",19
This is a hugely valuable agreement for New Zealand both strategically and economically,25
And we will share power and responsibility with people in their communities to help them help themselves and shape their services in response to their local circumstances.,14
We will give fire services the duty to co- ordinate the emergency response to floods locally.,14
with welfare reform a significant factor,38
Their civic service is vital to the health and vitality of regional Australia,55
"Fully funded PlunketLine for a 24-hour, seven-days service.",38
Establish a Crown Entity to hold all publicly owned water storage in trust for the people of New Zealand,31
"She’s already told us, during filming, what she thinks of people who drive all over the city one person to a car when they could catch the train, because she is going to inherit the consequences.",35
 the delisting of corporations that flagrantly and persistently violate the public interest.,21
The Green Party will amend the Residential Tenancies Act to provide tenants with the right of renewal on any tenancy.,21
"Microbreweries: The expansion of microbreweries, along with Ireland's resurgent whiskey industry, is providing very positive spillovers to the agricultural sector and creating local jobs.",19
"Access to health services like dental care, preventative health and mental health care should be getting easier for people",38
"To counter terrorism and youth radicalization in Canada through research and education, our Government launched the Kanishka Project in 2011.",46
Work to abolish the death penalty around the world,10
"gender-based violence and violence against children and the elderly,",46
- Create a strong framework for Britain's defence and security through NATO and European co-operation.,7
Part of the growth of the knowledge economy in Northern Ireland has been a specialism in the area of cybersecurity.,3
with spending at 40 percent of gross domestic product.,32
That is why the President banned torture without exception in his first week in office.,10
We will build on and strengthen the progress made in the Jordan agreement to include strong and enforceable labor and environmental standards in the core of new free trade agreements.,0
takes no account of peoplé s ability to pay.,50
"All countries including the UK agreed at Copenhagen in 2009 to recognise the need to limit the average temperature rise to below 2 degrees C, despite the fact that the UK’s climate change target means that there is an almost two-thirds (63%) chance of exceeding this 2 degrees C.",6
"Every year up to 15,000 seasonal migrant workers also help harvest our world class soft fruit and vegetables.",52
"Democrats believe more products in our homes, stores, workplaces, and communities should be stamped “Made in America”",24
By a lack of discipline.,44
The other parties are struggling with the idea of social welfare.,38
Lower the voting age to 16.,11
This will include offering additional tax incentives for small investors under R100 000.,20
This will amount to an almost doubling of current levels of investment.,29
as well as better planning for drought and other climate-related challenges.,35
"Over $2b has been invested since 2015 in publictransport, providing options for commuters",29
"In 2014, the Liberals tried to cut the indexation arrangement for every one of Victoria’s more than one million pensioners.",38
", 5,000 new nurses",38
We will include all homeowners whose houses have been built with the Mica Muscovite (weetabix) block and include them in any redress scheme -along with homeowners suffering with pyrite issues.,21
"Government, in an economy the size of New Zealand's, must accept that as one of the larger players in the economy and in the absence of other large players domestically, it has a crucial role in securing our key infrastructure.",31
Restore subsidies to public transport providers on the basis that all of the extra funding is used to reduce fares.,38
We will continue to examine demographic and technological challenges as they affect the NHS.,38
with the aim of delivering 500MW of locally owned renewable generation by 2020.,35
"and Buy Clean provisions,",34
"To ensure a long-term solution to crime and violence, the UDM believes that we, the citizens of South Africa, must commit ourselves to a concerted long-term effort to reform our society, so that we do not simply address the symptoms, but also eradicate the causes of crime and violence.",46
Crime fighting now starts in every community thanks to new statutory Crime and Disorder Partnerships.,46
Labour will improve mobile internet coverage and expand provision of free public wi-fi in city centres and on public transport.,29
"This is why we will: Implement the law without fear or favour,",46
"That’s why Democrats believe in improving and increasing opportunities for legal, permanent immigration.",43
* Local government to focus on core activities.,16
Establish rapid response teams to deal with maritime environmental emergencies.,35
Resist all attempts to downgrade the Irish Abroad Unit to unanswerable Agency Status,54
Work cooperatively with other countries to address problems of over-population and environmentally unsustainable lifestyles,35
and at the same time reduce the costs of gaining copyright.,29
They have outlawed alternatives to unions,51
We'll get there with strength of numbers to get on with the job of rebuilding our country.,42
Democrats are committed to following the rule of law,11
"We will facilitate island cooperatives and development companies in buying fishing licences and/or polyvalent 'tonnage', which could be leased out to island fishermen who wish to enter the industry or to expand their fishing operations.",52
"Encourage tertiary institutions to increase the availability of inter-disciplinary degrees to cover financial innovation, information systems and information technology, big data analysis and innovation technology.",40
"Going forward, we will continue working toward fair and equitable participation for Puerto Rico in federal programs.",37
The police must be properly equipped and well trained and they must be disciplined and caring enough to keep communities safe.,46
Many people have very practical worries:,37
"British business and jobs: We must protect support for domestic industries such as farming, tourism and the creative industries,",24
"Built 1,300 new prison places;",46
and deliver social justice,37
Maintain funding for Radio New Zealand.,36
"5) The EFF Government will work with Religious leaders, churches and all religious institutions in the moral regeneration of our society.",44
We will: Overhaul the Welfare of Animals Act to deliver greater numbers of successful prosecutions;,35
"But in respect of quality health care, education, municipal services and the like, the country must simply spend more.",16
- Give women greater opportunities to play a full role in work and in society.,55
"Scotland has a home to offer to those from many backgrounds and much to give on the world stage and yet we are living in the shadow our neighbour, who speaks for us but not of us.",43
• Work to extend the CER concept beyond New Zealand and Australia to include other Pacific nations.,25
What do we want for our children?,40
"We will fully enforce the Hong Kong Human Rights and Democracy Act, including by sanctioning officials, financial institutions, companies, and individuals responsible for undercutting Hong Kong’s autonomy.",11
"If elected to national government, the DA will: Establish one-stop border posts to expedite border crossing processes, reduce administrative burdens and costs, and enhance regional trade;",28
"In a community that is time short, ageing and sometimes does not treasure its older citizens in the way they deserve cultures do, there is an increased risk of social isolation with adverse consequences for the physical and mental health of older Australians. The Nationals will:",55
"We will scrap the Liberals’ cuts to the PBS, ensuring there will be no increase to the co-payments or safety net thresholds on top of regular indexation.",38
"What should we spend, and on what?",47
Our inward-looking economy must become an export oriented one.,25
ensure that environmental and social impact assessments are rigorously applied and implemented on all mining proposals and projects.,35
Irish society has grown increasingly diverse and parents are demanding a greater plurality of choice for their children’s education.,40
"1,100 day places are being provided and 800 extra residential care beds are being rolled out.",55
This is the moral challenge facing South Africa.,44
"A first principles review will: Rectify administrative, governance and process failings.",38
"Held the first ever education festivals in Auckland, Wellington and Christchurch to profile school best practice to the public.",40
and supporting devolution in Wales.,14
and create a new designation of national nature parks to protect up to one million acres of accessible green space valued by local communities.,35
It's a great deal for Canada that will significantly benefit our economy and Canadians' prosperity.,25
"Promoting equitable recognition, respect and support to all religious formations.",48
"The programme targets an increase in planting each year over the lifetime of the programme, commencing with 6,000 ha of new forests in year one, increasing to 8,290 ha in 2020.",35
"The Nationals will also support an increase to the Assistance for Isolated Children’s’ Allowance, and ensure that it is reviewed on a regular basis so that it can be adapted to changing needs.",55
"By seriously weakening work incentives, softening fraud recovery, and increasing benefit payments, the requirement to move from welfare to work has been dangerously undermined.",39
"Maori are the indigenous people of New Zealand, but the history and contribution of the many other ethnic groups in this country must also be reorganised.",48
We will upgrade hostels to meet the needs of the residents as part of a programme to eliminate the apartheid migrant labour system,38
establish working relationships with rural advocacy groups to ensure that rural and provincial views and issues are heard.,52
to ensure its improvement in certain key areas of operation while becoming more service oriented.,16
Open 13 more Trade Academies in 2012.,29
"While there is still work to do, the number of people starting treatment for cancer within 62 days of referral has risen from 84.5 per cent in 2007 to 94.2 per cent.",38
"and social care,",38
National will invest more in regional economic development priority areas to ensure businesses operating in rural New Zealand can benefit from the productivity improvements that better connectivity offers,29
Treaty settlements would lose the momentum they have had under National,48
and develop regional immigration programmes allowing regions to meet skill needs where positions cannot be filled within New Zealand;,43
Theresa May showed weakness and inconsistency on Stop and Search and this has cost lives.,46
"This is causing particular hardship to some families, including working widows and elderly people.",55
"The commitment to respect the right of other EU States to enter other military alliances, or to be neutral, as they choose.",7
"Over 750,000 people enjoy sea angling in the UK.",9
"The Constitution gives Congress authority to conduct the decennial census ""in such Manner as they shall by Law direct.”",12
"In addition, we will ask the UK government to conduct an early review of the current immigration detention system and regime, in order to deliver a fairer and more effective system as we move forward.",10
"Labour intends to increase wasteful government spending, putting pressure on interest rates and mortgage rates.",32
